Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/01/2024,11/03/2024,SUPER SERGIOS #1,Food & Drink,Sale,-32.54,
10/31/2024,11/01/2024,CHIPOTLE 1816,Food & Drink,Sale,-11.20,
11/01/2024,11/01/2024,SQ *MUSIC BOX SAN DIEGO L,Entertainment,Sale,-22.00,
11/01/2024,11/01/2024,SQ *MUSIC BOX SAN DIEGO L,Entertainment,Sale,-11.00,
10/27/2024,10/28/2024,HFS LIBERTY STATION,Food & Drink,Sale,-43.00,
10/27/2024,10/28/2024,DOORDASH*BEVMO!,Food & Drink,Sale,-107.02,
10/27/2024,10/28/2024,HFS LIBERTY STATION,Food & Drink,Sale,-12.95,
10/23/2024,10/25/2024,JERSEY MIKES 20108,Food & Drink,Sale,-29.87,
10/25/2024,10/25/2024,DD *DOORDASH ALDI,Food & Drink,Sale,-15.46,
10/21/2024,10/22/2024,TST* FERNSIDE,Food & Drink,Sale,-91.63,
10/20/2024,10/22/2024,TST*PANAMA 66,Food & Drink,Sale,-21.40,
10/21/2024,10/22/2024,TST*BUONA FORCHETTA - SO,Food & Drink,Sale,-145.75,
10/19/2024,10/21/2024,TST*BOTTLECRAFT - NORTH,Food & Drink,Sale,-7.47,
10/20/2024,10/21/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-58.68,
10/20/2024,10/21/2024,TST* MODERN TIMES - FLAVO,Food & Drink,Sale,-71.87,
10/20/2024,10/20/2024,DD *DOORDASH TACOBELL,Food & Drink,Sale,-46.98,
10/18/2024,10/20/2024,UEP*XINJIANG BBQ,Food & Drink,Sale,-422.04,
10/19/2024,10/20/2024,SQ *LA NACIONAL,Food & Drink,Sale,-9.70,
10/17/2024,10/20/2024,CHICK-FIL-A #01514,Food & Drink,Sale,-4.34,
10/19/2024,10/20/2024,CITYSDPKG-MOBILE 43887,Travel,Sale,-1.25,
10/13/2024,10/15/2024,ACE PARKING 1068,Travel,Sale,-5.00,
10/14/2024,10/15/2024,DD *DOORDASH TACOBELL,Food & Drink,Sale,-22.64,
10/14/2024,10/14/2024,Payment Thank You-Mobile,,Payment,1296.41,
10/13/2024,10/14/2024,SOAPY JOE'S CAR WASH - W,Automotive,Sale,-6.50,
10/10/2024,10/11/2024,TST* AERO CLUB,Food & Drink,Sale,-37.00,
10/09/2024,10/11/2024,SUPER SERGIOS #1,Food & Drink,Sale,-21.84,
10/10/2024,10/10/2024,MEDIUM,Food & Drink,Sale,-12.40,
10/07/2024,10/08/2024,DD *DOORDASH ALDI,Food & Drink,Sale,-9.98,
10/05/2024,10/07/2024,TST*COMMON THEORY OTAY R,Food & Drink,Sale,-18.28,
10/05/2024,10/07/2024,TST*COMMON THEORY OTAY R,Food & Drink,Sale,-9.64,
10/06/2024,10/07/2024,CHIPOTLE 2425,Food & Drink,Sale,-28.49,
10/05/2024,10/06/2024,CHARGEPOINT  INC,Automotive,Sale,-0.01,
10/05/2024,10/06/2024,DD *DOORDASH KAIYOSUSH,Food & Drink,Sale,-45.30,
10/04/2024,10/04/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-9.83,
10/03/2024,10/04/2024,NORTH ISLAND CREDIT UNION,Food & Drink,Sale,-81.56,
10/02/2024,10/04/2024,JERSEY MIKES 20175,Food & Drink,Sale,-28.87,
09/30/2024,10/02/2024,TST*SAMBURGERS LITTLE IT,Food & Drink,Sale,-17.10,
09/30/2024,10/01/2024,CITYSD PARKING 28881,Travel,Sale,-2.25,
09/30/2024,10/01/2024,TST*IRONSIDE,Food & Drink,Sale,-448.96,
09/30/2024,10/01/2024,CITYSD PARKING 28881,Travel,Sale,-2.50,
09/30/2024,10/01/2024,SQ *PORTAL COFFEE,Food & Drink,Sale,-5.75,
09/30/2024,10/01/2024,CITYSD PARKING 28881,Travel,Sale,-2.50,
09/30/2024,09/30/2024,CRSSD FESTIVAL (FOOD),Shopping,Sale,-13.41,
09/29/2024,09/30/2024,CRSSD FESTIVAL (BAR),Shopping,Sale,-21.79,
09/30/2024,09/30/2024,CRSSD FESTIVAL (BAR),Shopping,Sale,-20.67,
09/29/2024,09/30/2024,IN-N-OUT  CHULAVISTA,Food & Drink,Sale,-20.50,
09/27/2024,09/29/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-32.34,
09/29/2024,09/29/2024,CRSSD FESTIVAL (BAR),Shopping,Sale,-21.67,
09/28/2024,09/29/2024,CRSSD FESTIVAL (FOOD),Shopping,Sale,-28.82,
09/28/2024,09/29/2024,CRSSD FESTIVAL (BAR),Shopping,Sale,-28.82,
09/29/2024,09/29/2024,CRSSD FESTIVAL (BAR),Shopping,Sale,-22.79,
09/28/2024,09/29/2024,CRSSD FESTIVAL (BAR),Shopping,Sale,-29.93,
09/26/2024,09/27/2024,CHILI'S CLAIREMONT TOWN,Food & Drink,Sale,-37.95,
09/24/2024,09/25/2024,CHIPOTLE 2425,Food & Drink,Sale,-12.62,
09/23/2024,09/24/2024,DOORDASH*TACO BELL,Food & Drink,Sale,-32.82,
09/22/2024,09/24/2024,TST*COMMON THEORY OTAY R,Food & Drink,Sale,-29.08,
09/22/2024,09/23/2024,IN-N-OUT  CHULAVISTA,Food & Drink,Sale,-37.74,
09/21/2024,09/23/2024,HALFDOOR BREWING CO,Food & Drink,Sale,-41.10,
09/21/2024,09/22/2024,DD *DOORDASH SIMPLYFRE,Food & Drink,Sale,-38.70,
09/18/2024,09/20/2024,IN-N-OUT CHULA VISTA,Food & Drink,Sale,-18.54,
09/19/2024,09/20/2024,DD *DOORDASH ALDI,Food & Drink,Sale,-8.33,
09/17/2024,09/17/2024,Payment Thank You Bill Pa,,Payment,2000.00,
09/14/2024,09/16/2024,TST*TEMAKI HANDROLL BAR,Food & Drink,Sale,-73.01,
09/11/2024,09/12/2024,DD *DOORDASH JERSEYMIK,Food & Drink,Sale,-10.40,
09/06/2024,09/09/2024,PETCO PARK CONCESSIONS,Food & Drink,Sale,-18.31,
09/07/2024,09/09/2024,TST*GRAND OLE BBQ Y ASAD,Food & Drink,Sale,-41.35,
09/06/2024,09/09/2024,HUMBERTOS TACO SHOP #1,Food & Drink,Sale,-23.71,
09/08/2024,09/09/2024,TST* MODERN TIMES - LOMAL,Food & Drink,Sale,-20.32,
09/03/2024,09/04/2024,DD *DOORDASH JERSEYMIK,Food & Drink,Sale,-5.40,
09/01/2024,09/02/2024,Tacos El Gordo - Chula Vi,Food & Drink,Sale,-34.28,
09/01/2024,09/02/2024,SPO*QUARTYARD,Food & Drink,Sale,-80.00,
09/01/2024,09/02/2024,SPO*QUARTYARD,Food & Drink,Sale,-22.00,
09/01/2024,09/02/2024,DD *DOORDASH JERSEYMIK,Food & Drink,Sale,-10.95,
08/30/2024,08/30/2024,Payment Thank You-Mobile,,Payment,1776.95,
08/29/2024,08/30/2024,DD *DOORDASH 99RANCHMA,Food & Drink,Sale,-24.43,
08/29/2024,08/30/2024,TAQUERIA BY EL PRIETO 2,Food & Drink,Sale,-25.26,
08/28/2024,08/29/2024,IN-N-OUT NATIONAL CITY,Food & Drink,Sale,-18.54,
08/28/2024,08/29/2024,CHIPOTLE 1816,Food & Drink,Sale,-19.58,
08/27/2024,08/29/2024,FRESH CATCH WAIALAE,Food & Drink,Sale,-29.86,
08/27/2024,08/29/2024,THE MODERN FD,Travel,Sale,-36.41,
08/29/2024,08/29/2024,LYFT   *1 RIDE 08-27,Travel,Sale,-20.81,
08/27/2024,08/28/2024,ALAMO RENT-A-CAR,Travel,Sale,-188.97,
08/26/2024,08/28/2024,SUNRISE POOL,Food & Drink,Sale,-32.32,
08/26/2024,08/28/2024,MONKEYPOD KITCHEN WAIK,Food & Drink,Sale,-72.02,
08/26/2024,08/28/2024,01 ZIPPYS MCCULLY,Food & Drink,Sale,-16.65,
08/27/2024,08/28/2024,SQ *KOMEDOKORO M'S,Groceries,Sale,-16.65,
08/27/2024,08/28/2024,DD *DOORDASH PHUKETTHA,Food & Drink,Sale,-36.26,
08/27/2024,08/28/2024,TST*ISLAND VINTAGE COFFE,Food & Drink,Sale,-15.13,
08/27/2024,08/27/2024,ParkWhiz  Inc.,Travel,Sale,-2.50,
08/26/2024,08/27/2024,Maui Brewing Company -,Food & Drink,Sale,-54.80,
08/26/2024,08/27/2024,TST* WHITE SANDS HOTEL -,Food & Drink,Sale,-40.70,
08/26/2024,08/27/2024,ParkWhiz  Inc.,Travel,Sale,-12.99,
08/26/2024,08/27/2024,PY *KAITEN SUSHI GINZA ON,Food & Drink,Sale,-128.61,
08/27/2024,08/27/2024,ParkWhiz  Inc.,Travel,Sale,-18.49,
08/26/2024,08/27/2024,SQ *KOMEDOKORO M'S,Groceries,Sale,-24.17,
08/25/2024,08/27/2024,PY *TONKATSU TAMAFUJI - H,Food & Drink,Sale,-82.00,
08/26/2024,08/27/2024,ParkWhiz  Inc.,Travel,Sale,-1.00,
08/26/2024,08/27/2024,WAIOLA SHAVE ICE,Food & Drink,Sale,-7.73,
08/27/2024,08/27/2024,VALLEY OF TEMPLES_RET,Personal,Sale,-10.00,
08/24/2024,08/26/2024,DUKES WAIKIKI,Food & Drink,Sale,-105.67,
08/26/2024,08/26/2024,ParkWhiz  Inc.,Travel,Sale,-2.50,
08/25/2024,08/26/2024,SQ *SKULL &amp; CROWN TRADING,Food & Drink,Sale,-61.50,
08/24/2024,08/26/2024,BAR LEATHER APRON,Food & Drink,Sale,-111.11,
08/25/2024,08/26/2024,ParkWhiz  Inc.,Travel,Sale,-15.99,
08/26/2024,08/26/2024,ParkWhiz  Inc.,Travel,Sale,-1.00,
08/26/2024,08/26/2024,ParkWhiz  Inc.,Travel,Sale,-2.50,
08/25/2024,08/26/2024,TST*PIZZA MAMO,Food & Drink,Sale,-6.76,
08/25/2024,08/26/2024,91263 - INTERNATIONAL MAR,Travel,Sale,-4.00,
08/25/2024,08/26/2024,7-ELEVEN #54276,Gas,Sale,-2.04,
08/25/2024,08/26/2024,DD *DOORDASH PAIAFISHM,Food & Drink,Sale,-4.01,
08/24/2024,08/25/2024,ParkWhiz  Inc.,Travel,Sale,-15.99,
08/25/2024,08/25/2024,LYFT   *1 RIDE 08-23,Travel,Sale,-15.67,
08/23/2024,08/25/2024,THE MODERN FD,Travel,Sale,-165.16,
08/25/2024,08/25/2024,ParkWhiz  Inc.,Travel,Sale,-3.50,
08/22/2024,08/23/2024,CHIPOTLE 2425,Food & Drink,Sale,-16.42,
05/17/2024,08/21/2024,Cars on Booking,Travel,Return,239.83,
08/17/2024,08/18/2024,SQ *THE FRIENDLY TAVERN,Food & Drink,Sale,-17.00,
08/17/2024,08/18/2024,TST* POLITE PROVISIONS,Food & Drink,Sale,-65.35,
08/17/2024,08/18/2024,SQ *THE FRIENDLY TAVERN,Food & Drink,Sale,-13.00,
08/14/2024,08/16/2024,GOB DEL ESTADO BC USD,Bills & Utilities,Sale,-9.70,
08/14/2024,08/15/2024,TST* AERO CLUB,Food & Drink,Sale,-14.00,
08/13/2024,08/14/2024,EBK FUEL,Gas,Sale,-9.69,
08/13/2024,08/14/2024,TST*RUBICON DELI MISSION,Food & Drink,Sale,-31.37,
08/11/2024,08/13/2024,PAR*MARUGAME UDON - SAN D,Food & Drink,Sale,-30.28,
08/12/2024,08/13/2024,TST* MODERN TIMES - LOMAL,Food & Drink,Sale,-48.16,
08/12/2024,08/12/2024,Payment Thank You-Mobile,,Payment,40.00,
08/11/2024,08/12/2024,TST* THE GUTTER,Food & Drink,Sale,-27.79,
08/10/2024,08/11/2024,DD DOORDASH SPROUTSFA,Food & Drink,Sale,-11.78,
08/08/2024,08/11/2024,TST*3 PUNK ALES LITTLE I,Food & Drink,Sale,-18.00,
08/10/2024,08/11/2024,TST* SUSHIYA,Food & Drink,Sale,-21.55,
08/07/2024,08/09/2024,JERSEY MIKES 20108,Food & Drink,Sale,-28.37,
08/08/2024,08/09/2024,PRINCESS PUB &amp; GRILLE,Food & Drink,Sale,-44.00,
08/05/2024,08/05/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-15.48,
08/04/2024,08/05/2024,McDonalds 5458,Food & Drink,Sale,-1.61,
08/04/2024,08/05/2024,CHIPOTLE 2425,Food & Drink,Sale,-27.95,
08/03/2024,08/04/2024,TST* MALIBU FARM SAN DIEG,Food & Drink,Sale,-19.24,
08/03/2024,08/04/2024,HFS LIBERTY STATION,Food & Drink,Sale,-25.84,
08/03/2024,08/04/2024,TAQUERIA BY EL PRIETO 2,Food & Drink,Sale,-29.53,
08/03/2024,08/04/2024,TST* MALIBU FARM SAN DIEG,Food & Drink,Sale,-9.62,
08/03/2024,08/04/2024,TST* THE LION'S SHARE,Food & Drink,Sale,-47.10,
08/03/2024,08/04/2024,TST* FERNSIDE,Food & Drink,Sale,-37.70,
08/01/2024,08/02/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-16.26,
07/29/2024,07/31/2024,TST* FORMOOSA,Food & Drink,Sale,-57.57,
07/29/2024,07/30/2024,DD DOORDASH KAIYOSUSH,Food & Drink,Sale,-22.68,
07/27/2024,07/29/2024,SEAWORLD SAN DIEGO FS,Food & Drink,Sale,-4.23,
07/27/2024,07/29/2024,SEAWORLD SAN DIEGO FS,Food & Drink,Sale,-38.18,
07/27/2024,07/29/2024,JOMARU KOREAN HOTPOT,Food & Drink,Sale,-134.37,
07/27/2024,07/29/2024,McDonalds 38204,Food & Drink,Sale,-17.69,
07/26/2024,07/28/2024,TST* BEGINNERS DINER &amp; TH,Food & Drink,Sale,-54.65,
07/27/2024,07/28/2024,MCDONALD'S F38204,Food & Drink,Sale,-5.10,
07/27/2024,07/28/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-27.71,
07/27/2024,07/28/2024,TOCK ATREALM 52 REMED,Food & Drink,Return,40.00,
07/25/2024,07/26/2024,SQ *SOCIETE BREWING COMPA,Food & Drink,Sale,-19.24,
07/24/2024,07/25/2024,TST* LOLITA'S MEXICAN BON,Food & Drink,Sale,-62.68,
07/22/2024,07/23/2024,LUNA GRILL 002,Food & Drink,Sale,-35.15,
07/22/2024,07/23/2024,SQ *LESTAT'S OF HILLCREST,Food & Drink,Sale,-3.25,
07/21/2024,07/23/2024,DOMINO'S 7709,Food & Drink,Sale,-21.83,
07/21/2024,07/22/2024,TST* SUSHIYA,Food & Drink,Sale,-120.45,
07/20/2024,07/22/2024,SUPER SERGIOS #2,Food & Drink,Sale,-16.58,
07/20/2024,07/22/2024,SEAWORLD SAN DIEGO FS,Food & Drink,Sale,-48.32,
07/22/2024,07/22/2024,Payment Thank You-Mobile,,Payment,1111.21,
07/20/2024,07/21/2024,TST* FERNSIDE,Food & Drink,Sale,-25.00,
07/18/2024,07/19/2024,TOCK ATREALM 52 REMED,Food & Drink,Sale,-40.00,
07/17/2024,07/18/2024,SQ *COPA VIDA CAFE - EAST,Food & Drink,Sale,-6.25,
07/16/2024,07/17/2024,PANDA EXPRESS #1316 P,Food & Drink,Sale,-12.72,
07/14/2024,07/16/2024,SQ *LA NACIONAL,Food & Drink,Sale,-78.86,
07/15/2024,07/16/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-8.97,
07/15/2024,07/15/2024,SNAKE RIVER FARMS,Groceries,Sale,-3.90,
07/14/2024,07/15/2024,ROBERTO'S TACO SHOP,Food & Drink,Sale,-25.56,
07/10/2024,07/11/2024,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,550.00,
07/10/2024,07/11/2024,TRAVEL CREDIT $300/YEAR,Fees & Adjustments,Adjustment,300.00,
07/10/2024,07/11/2024,VIVAAEROB   0000000FYVPKM,Travel,Sale,-902.12,
07/06/2024,07/08/2024,MANDARIN BEIJING CHINESE,Food & Drink,Sale,-40.88,
07/05/2024,07/07/2024,TST* LOLITA'S MEXICAN BON,Food & Drink,Sale,-16.26,
07/06/2024,07/07/2024,DD DOORDASH JERSEYMIK,Food & Drink,Sale,-16.25,
07/05/2024,07/05/2024,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-29.62,
07/03/2024,07/04/2024,SQ *THAI FRESH LLC,Food & Drink,Sale,-30.82,
07/01/2024,07/02/2024,TST* BETTER BUZZ - HILLCR,Food & Drink,Sale,-6.79,
07/01/2024,07/01/2024,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-550.00,
06/28/2024,06/30/2024,FRESH FRIE,Food & Drink,Sale,-14.00,
06/25/2024,06/26/2024,DD DOORDASH WINGSTOP,Food & Drink,Sale,-36.47,
06/19/2024,06/20/2024,DOORDASH*JERSEY MIKES,Food & Drink,Sale,-10.95,
06/17/2024,06/18/2024,DD DOORDASH SUBWAY,Food & Drink,Sale,-94.95,
06/11/2024,06/11/2024,Payment Thank You-Mobile,,Payment,40.00,
06/09/2024,06/11/2024,CARTE HOTEL SAN DIEGO,Travel,Sale,-41.54,
06/08/2024,06/09/2024,SP CAFE SUAVECITO,Groceries,Sale,-36.95,
06/06/2024,06/07/2024,DD DOORDASH TACOBELL,Food & Drink,Sale,-31.19,
06/03/2024,06/04/2024,DD DOORDASH FLAMEBROI,Food & Drink,Sale,-31.55,
06/02/2024,06/02/2024,Foot Locker,Shopping,Return,108.75,
05/31/2024,06/02/2024,DD DOORDASH JERSEYMIK,Food & Drink,Sale,-10.95,
05/28/2024,05/29/2024,DD DOORDASH WIENERSCH,Food & Drink,Sale,-21.14,
05/26/2024,05/27/2024,DD DOORDASH ROBERTOST,Food & Drink,Sale,-57.79,
05/25/2024,05/26/2024,SHAKE SHACK - 1217A,Food & Drink,Sale,-48.09,
05/23/2024,05/26/2024,TST* OSCARS MEXICAN SEAF,Food & Drink,Sale,-30.00,
05/22/2024,05/22/2024,Payment Thank You-Mobile,,Payment,1398.68,
05/19/2024,05/21/2024,TST* CARNITAS SNACK SHACK,Food & Drink,Sale,-40.33,
05/19/2024,05/21/2024,Port of San Diego  CA,Travel,Sale,-4.10,
05/19/2024,05/20/2024,DD DOORDASH LLHAWAIIA,Food & Drink,Sale,-62.96,
05/18/2024,05/20/2024,JERSEY MIKES 20108,Food & Drink,Sale,-19.25,
05/17/2024,05/19/2024,TST* BAHN THAI,Food & Drink,Sale,-128.09,
05/17/2024,05/19/2024,TST* PARK &amp; REC,Food & Drink,Sale,-67.50,
05/17/2024,05/19/2024,Cars on Booking,Travel,Sale,-239.83,
05/16/2024,05/17/2024,IN-N-OUT CHULA VISTA,Food & Drink,Sale,-18.54,
05/12/2024,05/14/2024,MANDARIN BEIJING CHINESE,Food & Drink,Sale,-243.21,
05/12/2024,05/13/2024,DD DOORDASH TACOBELL,Food & Drink,Sale,-46.54,
05/12/2024,05/13/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
05/12/2024,05/13/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-15.00,
05/10/2024,05/12/2024,DARK HORSE COFFEE,Food & Drink,Sale,-8.25,
05/10/2024,05/12/2024,DARK HORSE COFFEE,Food & Drink,Sale,-11.64,
05/10/2024,05/12/2024,ACE PARKING PAY,Travel,Sale,-28.95,
05/10/2024,05/12/2024,ACE PARKING PAY,Travel,Sale,-10.95,
05/10/2024,05/12/2024,EINSTEIN'S TERMINAL 1,Food & Drink,Sale,-15.45,
05/08/2024,05/09/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-17.26,
05/06/2024,05/07/2024,DD DOORDASH PALMTHAIC,Food & Drink,Sale,-39.31,
05/03/2024,05/05/2024,DD DOORDASH TAPIOCAEX,Food & Drink,Sale,-14.00,
05/02/2024,05/03/2024,TST* COMMON THEORY OTAY R,Food & Drink,Sale,-18.32,
05/01/2024,05/02/2024,Payment Thank You-Mobile,,Payment,923.11,
04/30/2024,04/30/2024,Foot Locker,Shopping,Sale,-108.75,
04/29/2024,04/30/2024,Foot Locker,Shopping,Sale,-130.50,
04/28/2024,04/29/2024,HANU KOREAN BBQ,Food & Drink,Sale,-58.70,
04/28/2024,04/29/2024,Payment Thank You-Mobile,,Payment,1000.00,
04/26/2024,04/29/2024,PETCO PARK CONCESSIONS,Food & Drink,Sale,-9.69,
04/26/2024,04/29/2024,PETCO PARK CONCESSIONS,Food & Drink,Sale,-19.31,
04/27/2024,04/28/2024,TST* INVIGATORIUM - J&amp;TON,Food & Drink,Sale,-56.31,
04/26/2024,04/28/2024,CITYSD PARKING 28881,Travel,Sale,-2.00,
04/21/2024,04/22/2024,DD DOORDASH WIENERSCH,Food & Drink,Sale,-17.14,
04/21/2024,04/22/2024,SQ *THAI FRESH LLC,Food & Drink,Sale,-30.82,
04/21/2024,04/22/2024,CHEESECAKE 115 ONLINE,Food & Drink,Sale,-122.23,
04/19/2024,04/22/2024,KAIYO SUSHI,Food & Drink,Sale,-25.32,
04/19/2024,04/21/2024,TST* TJ OYSTER BAR 2,Food & Drink,Sale,-25.17,
04/20/2024,04/21/2024,TST* FERNSIDE,Food & Drink,Sale,-68.16,
04/17/2024,04/18/2024,TST* LOLITA'S MEXICAN FOO,Food & Drink,Sale,-29.77,
04/16/2024,04/18/2024,HALFDOOR BREWING CO,Food & Drink,Sale,-53.19,
04/15/2024,04/16/2024,CHIPOTLE 2425,Food & Drink,Sale,-31.76,
04/14/2024,04/15/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-17.31,
04/14/2024,04/15/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-24.92,
04/13/2024,04/14/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-13.05,
04/13/2024,04/14/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-20.58,
04/12/2024,04/14/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-4.35,
04/13/2024,04/14/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-5.35,
04/12/2024,04/14/2024,SQ *COACHELLA VALLEY MUSI,Food & Drink,Sale,-14.14,
04/13/2024,04/14/2024,WHOP.COM/PAY/9MSE4P,Shopping,Sale,-200.00,
04/10/2024,04/11/2024,EL POLLO G* EL POLLO G,Food & Drink,Sale,-30.31,
04/10/2024,04/10/2024,STARBUCKS 800-782-7282,Food & Drink,Sale,-10.00,
04/07/2024,04/10/2024,TENDER GREENS UTC,Food & Drink,Sale,-33.73,
